grammar-name	direct-children	direct-parents
absolute-source-import-specifier	slash|source-mec-path|source-mec-path-wildcard-suffix	source-import-specifier
abstract-el	abstract-sigil|paragraph-newline|space-tab0	section-element
abstract-sigil	none	abstract-el
activation-arm	expression|guard-operator|left-brace|list-separator|mech-code|output-operator|pattern|right-brace|statement-separator|whitespace0|whitespace1	activation-scope
activation-scope	activation-arm|async-transition-operator|expression|left-brace|mech-code|period|right-brace|whitespace0	mech-code-alt
add	plus|ws0e	add-sub-operator
add-assign-operator	whitespace0	op-assign-operator
add-sub-operator	add|subtract	l3
aliased-item-import	import-alias-operator|module-import-alias|module-import-path|module-root|slash	module-import
alignment-separator	center-alignment|left-alignment|no-alignment|right-alignment|space-tab0	mechdown-table-header
alpha	none	alpha-token|subtitle
alpha-token	alpha	alphanumeric|context-address-path-token|context-base-resource-uri|context-capability-path-token|context-import-alias-segment|escaped-char|grammar-identifier|hexadecimal-literal|identifier|identifier-path-segment|raw-text|source-import-uri-scheme|source-path-component-token|text|ul-subtitle|uri-scheme-part
alphanumeric	alpha-token|digit-token	citation|reference|section-reference
ampersand	none	identifier-symbol|symbol
and	ws0e	logic-operator
any	none	any-token|code-block
any-token	any	comment|grammar-terminal-token|source-import-tail
apostrophe	none	punctuation|transpose
argument-list	call-arg|call-arg-with-binding|left-parenthesis|list-separator|right-parenthesis	fsm|function-call
assign-operator	whitespace0	invariant-define|variable-assign|variable-define
asterisk	none	context-capability-path-token|context-capability-scope|grammar-repeat0|identifier-path-segment-emoji|identifier-symbol|kind-any|module-suffix-import|paragraph-text|source-mec-path-wildcard-suffix|symbol|thematic-break|wildcard
async-transition-operator	whitespace0	activation-scope|fsm-async-transition
at	none	context-base-context|context-declaration|module-import-context-alias|prefixed-context-path|symbol
atom	colon|identifier	fsm-state-definition|literal
backslash	none	equation|escaped-char|identifier-symbol|inline-equation|matrix-solve|symbol
