component-id	component-size	recursive	members	outgoing-inactive-components	outgoing-active-rules
SCC-0001	80	true	argument-list|binding|brace-subscript|bracket-subscript|call-arg|call-arg-with-binding|comprehension-qualifier|expression|factor|fancy-table|fancy-table-header|field|formula|formula-subscript|fsm-args|fsm-async-transition|fsm-instance|fsm-output|fsm-pipe|fsm-state-transition|fsm-value|function-call|generator|header-field|inline-table|inline-table-header|inline-table-row|kind|kind-annotation|kind-kind|kind-map|kind-matrix|kind-record|kind-scalar|kind-set|kind-table|kind-tuple|kind-with-option|l1|l2|l3|l4|l5|l6|l7|literal|map|mapping|match-arm|matrix|matrix-column|matrix-comprehension|matrix-row|negate-factor|not-factor|parenthetical-term|pattern|pattern-array|pattern-array-item|pattern-array-token|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|range-expression|range-subscript|record|regular-table|set|set-comprehension|slice|structure|subscript|table|table-header|table-row|table-row2|tuple|tuple-struct|var|variable-define	none	add-sub-operator|assign-operator|async-transition-operator|atom|bar|boolean|box-drawing-char|box-vert|box-vert-bold|colon|comma|comparison-operator|dash|define-operator|dot-subscript|dot-subscript-int|empty|empty-map|empty-set|enum-separator|generator-arrow|generator-arrow-u|grave|guard-operator|hashtag|identifier|kind-any|kind-atom|kind-empty|left-angle|left-brace|left-bracket|left-parenthesis|list-separator|logic-operator|matrix-end|matrix-operator|matrix-start|mul-div-operator|new-line|not|number|output-operator|period|power-operator|prefixed-context-path|question|range-operator|right-angle|right-brace|right-bracket|right-parenthesis|row-separator|select-all|semicolon|set-operator|space-tab0|space-tab1|spread-operator|statement-separator|string|swizzle-subscript|table-end|table-operator|table-separator|table-start|table-top|tilde|transition-operator|transpose|whitespace|whitespace0|whitespace1|wildcard
SCC-0057	1	false	cd-rpl	none	none
SCC-0060	1	false	clc-rpl	none	none
SCC-0061	1	false	clear-rpl	none	none
SCC-0063	1	false	code-rpl	none	none
SCC-0095	1	false	docs-rpl	none	none
SCC-0168	1	false	help-rpl	none	none
SCC-0208	1	false	load-rpl	none	none
SCC-0210	1	false	ls-rpl	none	none
SCC-0269	1	false	parse-repl-command	SCC-0057|SCC-0060|SCC-0061|SCC-0063|SCC-0095|SCC-0168|SCC-0208|SCC-0210|SCC-0272|SCC-0277|SCC-0285|SCC-0309|SCC-0336|SCC-0350|SCC-0391	colon
SCC-0272	1	false	plan-rpl	none	none
SCC-0277	1	false	profile-rpl	none	none
SCC-0285	1	false	quit-rpl	none	none
SCC-0299	1	false	repl-identifier	none	none
SCC-0309	1	false	save-rpl	none	none
SCC-0336	1	false	step-rpl	none	hashtag
SCC-0350	1	false	symbols-rpl	none	none
SCC-0391	1	false	whos-rpl	SCC-0299	none
