grammar-name	family	component-id	component-size	recursive-component	same-component-children	closure-children	ported-external-children
argument-list	functions	SCC-0001	80	true	call-arg|call-arg-with-binding	none	left-parenthesis|list-separator|right-parenthesis
binding	structures	SCC-0001	80	true	expression|kind-annotation	none	colon|comma|identifier|whitespace0
brace-subscript	expressions	SCC-0001	80	true	formula-subscript|range-subscript	none	left-brace|list-separator|right-brace|select-all
bracket-subscript	expressions	SCC-0001	80	true	formula-subscript|range-subscript	none	left-bracket|list-separator|right-bracket|select-all
call-arg	functions	SCC-0001	80	true	expression	none	none
call-arg-with-binding	functions	SCC-0001	80	true	expression	none	colon|identifier|whitespace0
comprehension-qualifier	expressions	SCC-0001	80	true	expression|generator|variable-define	none	none
expression	expressions	SCC-0001	80	true	formula|fsm-pipe|match-arm|matrix-comprehension|range-expression|set-comprehension	none	period|question|whitespace0
factor	expressions	SCC-0001	80	true	function-call|literal|matrix-comprehension|negate-factor|not-factor|parenthetical-term|slice|structure|var	none	transpose
fancy-table	structures	SCC-0001	80	true	fancy-table-header|table-row2	none	new-line|row-separator|table-separator|table-top
fancy-table-header	structures	SCC-0001	80	true	field	none	table-separator|whitespace0
field	structures	SCC-0001	80	true	kind-annotation	none	identifier
formula	expressions	SCC-0001	80	true	l1	none	none
formula-subscript	expressions	SCC-0001	80	true	formula	none	none
fsm-args	state_machines	SCC-0001	80	true	call-arg|call-arg-with-binding	none	left-parenthesis|list-separator|right-parenthesis
fsm-async-transition	state_machines	SCC-0001	80	true	fsm-value	none	async-transition-operator
fsm-instance	state_machines	SCC-0001	80	true	fsm-args	none	hashtag|identifier
fsm-output	state_machines	SCC-0001	80	true	fsm-value	none	output-operator
fsm-pipe	state_machines	SCC-0001	80	true	fsm-async-transition|fsm-instance|fsm-output|fsm-state-transition	none	none
fsm-state-transition	state_machines	SCC-0001	80	true	fsm-value	none	transition-operator
fsm-value	state_machines	SCC-0001	80	true	pattern	none	none
function-call	functions	SCC-0001	80	true	argument-list	none	identifier
generator	expressions	SCC-0001	80	true	expression|pattern	none	generator-arrow|generator-arrow-u|space-tab0
